demand_elec.fix,demand_heat.fix,elec_net_dyn.emission_factor,elec_net_dyn.variable_costs,t_wp_A_W70.eff_out_1,t_wp_A_W70.max,pv.fix
118.9681779,1076.639948,0.125,0.15,1.81,0.322122175,0
109.1565943,1101.264626,0.118,0.15,1.78,0.323269774,0
90.046902,1120.267589,0.105,0.15,1.87,0.319826977,0
77.56180679,1130.463578,0.106,0.15,1.84,0.320974576,0
68.34787234,1135.867767,0.109,0.15,1.75,0.324417373,0
65.01793191,1136.520729,0.108,0.15,1.72,0.325564972,0
72.04642056,1135.652211,0.105,0.15,1.69,0.326712571,0
84.64410297,1143.763161,0.106,0.15,1.75,0.324417373,0
97.51372965,1165.417636,0.11,0.15,1.78,0.323269774,0
95.10284116,1197.770199,0.142,0.15,1.72,0.325564972,0
100.1396535,1191.906371,0.14,0.15,1.72,0.325564972,0
107.7657233,1181.90265,0.133,0.15,1.81,0.322122175,0.014948904
105.8342706,1135.426729,0.135,0.15,2.02,0.314088983,0.051747033
96.58402091,1090.869472,0.126,0.15,2.17,0.308350989,0.070077041
76.96624863,1056.170904,0.128,0.15,2.23,0.306055791,0.053120833
69.34260286,1035.868927,0.132,0.15,2.23,0.306055791,0.03510161
73.40348611,1026.619731,0.134,0.15,2.08,0.311793785,0.028413722
84.42798072,1011.853645,0.146,0.15,2.2,0.30720339,0.009099878
91.93704236,987.9985221,0.146,0.15,2.29,0.303760593,0
110.1671465,959.9418852,0.143,0.15,2.26,0.304908192,0
156.7406449,958.591274,0.142,0.15,2.35,0.301465395,0
174.2651103,946.8927194,0.148,0.15,2.32,0.302612994,0
147.6035798,930.0662969,0.154,0.15,2.38,0.300317797,0
129.3459515,937.5690886,0.159,0.15,2.44,0.298022599,0
114.7692939,965.0124194,0.157,0.15,2.504,0.297210452,0
98.47416425,982.4119574,0.173,0.15,2.47,0.296875,0
71.05264501,990.8705758,0.176,0.15,2.532,0.307591808,0
55.50115587,988.5375912,0.179,0.15,2.536,0.309074859,0
50.79166064,983.5197203,0.176,0.15,2.54,0.31055791,0
50.34292029,976.7640755,0.192,0.15,2.524,0.304625706,0
51.93874954,960.9212129,0.201,0.15,2.516,0.301659605,0
56.66228002,941.9181927,0.21,0.15,2.544,0.31204096,0
70.69365427,964.2257495,0.221,0.15,2.512,0.300176554,0
